Game Number,Video Link,Winner,Map Name,"Players, Roles and Tasks","Players, Roles and Tasks"
48,https://www.youtube.com/watch?v=OcFpzr7-A-k&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1412s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,TommyInnit - Crewmate,Tubbo - Imposter,Wilbur - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
TommyInnit - Crewmate
Tubbo - Imposter
Wilbur - Crewmate"
49,https://www.youtube.com/watch?v=Ws79ig1epEQ&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=20,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Theo - Crewmate,Ellum - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Theo - Crewmate
Ellum - Imposter"
50,https://www.youtube.com/watch?v=Ws79ig1epEQ&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=415s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Theo - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Theo - Crewmate
Ellum - Crewmate"
51,https://www.youtube.com/watch?v=hqg1NSvAHKY&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=21,Imposter,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Theo - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Theo - Crewmate
Ellum - Crewmate"
52,https://www.youtube.com/watch?v=hqg1NSvAHKY&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=559s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Imposter,JJ - Crewmate,Randolph - Crewmate,Theo - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Imposter
JJ - Crewmate
Randolph - Crewmate
Theo - Crewmate
Ellum - Crewmate"
53,https://www.youtube.com/watch?v=pL9pSiew0BE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=22,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Theo - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Theo - Crewmate
Ellum - Crewmate"
54,https://www.youtube.com/watch?v=pL9pSiew0BE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=329s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Theo - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Theo - Crewmate
Ellum - Crewmate"
55,https://www.youtube.com/watch?v=pL9pSiew0BE&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=629s,Imposter,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Imposter,Theo - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Imposter
Theo - Crewmate
Ellum - Crewmate"
56,https://www.youtube.com/watch?v=XoJlg8ao7d8&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=23,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Muselk - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Muselk - Imposter"
57,https://www.youtube.com/watch?v=XoJlg8ao7d8&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=418s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Lachlan - Imposter,Lazarbeam - Crewmate,Muselk - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Lachlan - Imposter
Lazarbeam - Crewmate
Muselk - Crewmate"
58,https://www.youtube.com/watch?v=XoJlg8ao7d8&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=960s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate,Muselk - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Imposter
Lachlan - Crewmate
Lazarbeam - Crewmate
Muselk - Crewmate"
59,https://www.youtube.com/watch?v=yAQqeRh0b3Y&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=24,Crewmate,The Skeld,"Simon - Imposter,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Engineer,Harry - Crewmate,JJ - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate,Muselk - Crewmate","Simon - Imposter
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Engineer
Harry - Crewmate
JJ - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate
Muselk - Crewmate"
60,https://www.youtube.com/watch?v=yAQqeRh0b3Y&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=296s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Lachlan - Engineer,Lazarbeam - Imposter,Muselk - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Lachlan - Engineer
Lazarbeam - Imposter
Muselk - Crewmate"
61,https://www.youtube.com/watch?v=yAQqeRh0b3Y&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=865s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Engineer,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate,Muselk - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Engineer
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Lachlan - Crewmate
Lazarbeam - Crewmate
Muselk - Crewmate"
62,https://www.youtube.com/watch?v=L-tSskyLGRI&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=25,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Scientist,JJ - Imposter,Lachlan - Crewmate,Lazarbeam - ShapeShifter,Muselk - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Scientist
JJ - Imposter
Lachlan - Crewmate
Lazarbeam - ShapeShifter
Muselk - Crewmate"
63,https://www.youtube.com/watch?v=L-tSskyLGRI&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=821s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - ShapeShifter,Tobi - Crewmate,Ethan - Crewmate,Harry - Scientist,JJ - Crewmate,Lachlan - Imposter,Lazarbeam - Crewmate,Muselk - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - ShapeShifter
Tobi - Crewmate
Ethan - Crewmate
Harry - Scientist
JJ - Crewmate
Lachlan - Imposter
Lazarbeam - Crewmate
Muselk - Crewmate"
64,https://www.youtube.com/watch?v=L-tSskyLGRI&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1656s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - ShapeShifter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Lachlan - Scientist,Lazarbeam - Imposter,Muselk - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - ShapeShifter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Lachlan - Scientist
Lazarbeam - Imposter
Muselk - Crewmate"
65,https://www.youtube.com/watch?v=paIL5Y1DLTU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=26,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Imposter,Ellum - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Imposter
Ellum - Imposter"
66,https://www.youtube.com/watch?v=paIL5Y1DLTU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=749s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Engineer,Vik - Scientist,Tobi - Crewmate,Ethan - ShapeShifter,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Engineer
Vik - Scientist
Tobi - Crewmate
Ethan - ShapeShifter
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Ellum - Crewmate"
67,https://www.youtube.com/watch?v=v5M8TjxCu9w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=27,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Imposter,Randolph - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Imposter
Randolph - Crewmate
Ellum - Crewmate"
68,https://www.youtube.com/watch?v=v5M8TjxCu9w&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=527s,Imposter,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Engineer,Ethan - Imposter,Harry - Scientist,JJ - Crewmate,Randolph - Crewmate,Ellum - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Engineer
Ethan - Imposter
Harry - Scientist
JJ - Crewmate
Randolph - Crewmate
Ellum - Crewmate"
69,https://www.youtube.com/watch?v=ag37jdQpi-0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=28,Imposter,The Skeld,"Simon - ShapeShifter,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Ellum - Crewmate","Simon - ShapeShifter
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Ellum - Crewmate"
70,https://www.youtube.com/watch?v=ag37jdQpi-0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=515s,Imposter,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Ellum - Imposter","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Ellum - Imposter"
71,https://www.youtube.com/watch?v=R-3G_ahhCFg&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=29,Crewmate,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Imposter,ChrisMD - Crewmate,WillNE - Engineer","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Imposter
ChrisMD - Crewmate
WillNE - Engineer"
72,https://www.youtube.com/watch?v=R-3G_ahhCFg&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=398s,Crewmate,Polus,"Simon - Scientist,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Engineer,JJ - Crewmate,Randolph - Crewmate,ChrisMD - Imposter,WillNE - Crewmate","Simon - Scientist
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Engineer
JJ - Crewmate
Randolph - Crewmate
ChrisMD - Imposter
WillNE - Crewmate"
73,https://www.youtube.com/watch?v=R-3G_ahhCFg&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1118s,Imposter,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - ShapeShifter,Tobi - Crewmate,Ethan - Engineer,Harry - Imposter,JJ - Crewmate,Randolph - Crewmate,ChrisMD - Crewmate,WillNE - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - ShapeShifter
Tobi - Crewmate
Ethan - Engineer
Harry - Imposter
JJ - Crewmate
Randolph - Crewmate
ChrisMD - Crewmate
WillNE - Crewmate"
74,https://www.youtube.com/watch?v=GHb8mPjgKes&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=30,Crewmate,Polus,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Engineer,Randolph - Crewmate,ChrisMD - Crewmate,WillNE - ShapeShifter","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Engineer
Randolph - Crewmate
ChrisMD - Crewmate
WillNE - ShapeShifter"
75,https://www.youtube.com/watch?v=GHb8mPjgKes&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=772s,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Randolph - ShapeShifter,ChrisMD - Crewmate,WillNE - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Randolph - ShapeShifter
ChrisMD - Crewmate
WillNE - Crewmate"
76,https://www.youtube.com/watch?v=GHb8mPjgKes&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1218s,Imposter,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Scientist,Tobi - Imposter,Ethan - Crewmate,Harry - Engineer,JJ - Crewmate,Randolph - Crewmate,ChrisMD - Crewmate,WillNE - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Scientist
Tobi - Imposter
Ethan - Crewmate
Harry - Engineer
JJ - Crewmate
Randolph - Crewmate
ChrisMD - Crewmate
WillNE - Crewmate"
77,https://www.youtube.com/watch?v=zPNjdUlIOTg&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=31,Imposter,The Skeld,"Simon - Crewmate,Josh - Scientist,Vik - Crewmate,Tobi - ShapeShifter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,ChrisMD - Imposter,WillNE - Crewmate","Simon - Crewmate
Josh - Scientist
Vik - Crewmate
Tobi - ShapeShifter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
ChrisMD - Imposter
WillNE - Crewmate"
78,https://www.youtube.com/watch?v=zPNjdUlIOTg&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1022s,Crewmate,The Skeld,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,ChrisMD - Crewmate,WillNE - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
ChrisMD - Crewmate
WillNE - Crewmate"
79,https://www.youtube.com/watch?v=zrgwhqxnd84&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=32,Imposter,Sidemen House,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Randolph - Crewmate,Theo - Imposter,Viz - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
Randolph - Crewmate
Theo - Imposter
Viz - Crewmate"
80,https://www.youtube.com/watch?v=zrgwhqxnd84&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1109s,Imposter,Sidemen House,"Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,MilkInABag - Crewmate,Viz - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Imposter
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
MilkInABag - Crewmate
Viz - Crewmate"
81,https://www.youtube.com/watch?v=aaF5PXqF0WY&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=33,Imposter,Sidemen House,"Simon - Imposter,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,MilkInABag - Crewmate,Viz - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Imposter
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
MilkInABag - Crewmate
Viz - Crewmate"
82,https://www.youtube.com/watch?v=aaF5PXqF0WY&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=908s,Imposter,Sidemen House,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,Randolph - Crewmate,MilkInABag - Crewmate,Viz - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
Randolph - Crewmate
MilkInABag - Crewmate
Viz - Imposter"
83,https://www.youtube.com/watch?v=lQ4yShfLMTc&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=34,Crewmate,Sidemen House,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,JME - Crewmate,DannyAarons - Imposter,Viz - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
JME - Crewmate
DannyAarons - Imposter
Viz - Crewmate"
84,https://www.youtube.com/watch?v=lQ4yShfLMTc&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=454s,Imposter,Sidemen House,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,JME - Crewmate,DannyAarons - Imposter,Viz - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
JME - Crewmate
DannyAarons - Imposter
Viz - Crewmate"
85,https://www.youtube.com/watch?v=ZT63fgGhEXo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=35,Imposter,Sidemen House,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,JME - Imposter,DannyAarons - Crewmate,Viz - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Imposter
Harry - Crewmate
JJ - Crewmate
JME - Imposter
DannyAarons - Crewmate
Viz - Crewmate"
86,https://www.youtube.com/watch?v=ZT63fgGhEXo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1253s,Crewmate,Sidemen House,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,JME - Imposter,DannyAarons - Crewmate,Viz - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
JME - Imposter
DannyAarons - Crewmate
Viz - Crewmate"
87,https://www.youtube.com/watch?v=qibdPGsl-Uo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=36,Crewmate,Sidemen House,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,JME - Crewmate,DannyAarons - Crewmate,Viz - Crewmate","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Imposter
JME - Crewmate
DannyAarons - Crewmate
Viz - Crewmate"
88,https://www.youtube.com/watch?v=qibdPGsl-Uo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=963s,Crewmate,Sidemen House,"Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,JME - Crewmate,DannyAarons - Crewmate,Viz - Imposter","Simon - Crewmate
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
JME - Crewmate
DannyAarons - Crewmate
Viz - Imposter"
89,https://www.youtube.com/watch?v=0JWBQjbzjZ8&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=37,Imposter,The Skeld,"Simon - Imposter,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Crewmate","Simon - Imposter
Josh - Imposter
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Crewmate"
90,https://www.youtube.com/watch?v=vFRM9ZoOPlU&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=38,Crewmate,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Imposter,Lachlan - Crewmate,Lazarbeam - Crewmate","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Imposter
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Imposter
Lachlan - Crewmate
Lazarbeam - Crewmate"
91,https://www.youtube.com/watch?v=_Toh-U1u3_Q&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=39,Imposter,The Skeld,"Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Randolph - Crewmate,Lachlan - Crewmate,Lazarbeam - Imposter","Simon - Crewmate
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Imposter
JJ - Crewmate
Randolph - Crewmate
Lachlan - Crewmate
Lazarbeam - Imposter"
92,https://www.youtube.com/watch?v=_Toh-U1u3_Q&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=1012s,Imposter,The Skeld,"Simon - Imposter,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Randolph - Crewmate,Lachlan - Imposter,Lazarbeam - Crewmate","Simon - Imposter
Josh - Crewmate
Vik - Crewmate
Tobi - Crewmate
Ethan - Crewmate
Harry - Crewmate
JJ - Crewmate
Randolph - Crewmate
Lachlan - Imposter
Lazarbeam - Crewmate"
93,https://www.youtube.com/watch?v=WEK25KcWRjs&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=40,Imposter,Sidemen Custom,"Simon - Imposter,Josh - Crewmate - (3/7),Vik - Crewmate - (0/7),Ethan - Crewmate - (2/7),Harry - Crewmate - (0/7),Randolph - Imposter,Ellum - Crewmate - (3/7),DannyAarons - Crewmate - (2/7),Viz - Crewmate - (1/7)","Simon - Imposter
Josh - Crewmate - (3/7)
Vik - Crewmate - (0/7)
Ethan - Crewmate - (2/7)
Harry - Crewmate - (0/7)
Randolph - Imposter
Ellum - Crewmate - (3/7)
DannyAarons - Crewmate - (2/7)
Viz - Crewmate - (1/7)"
94,https://www.youtube.com/watch?v=WEK25KcWRjs&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=578s,Imposter,Sidemen Custom,"Simon - Crewmate - (3/7),Josh - Imposter,Vik - Crewmate - (1/7),Ethan - Crewmate - (2/7),Harry - Imposter,Randolph - Crewmate - (1/7),Ellum - Crewmate - (1/7),DannyAarons - Crewmate - (1/7),Viz - Crewmate - (3/7)","Simon - Crewmate - (3/7)
Josh - Imposter
Vik - Crewmate - (1/7)
Ethan - Crewmate - (2/7)
Harry - Imposter
Randolph - Crewmate - (1/7)
Ellum - Crewmate - (1/7)
DannyAarons - Crewmate - (1/7)
Viz - Crewmate - (3/7)"
